Station, Date,   Air Temperature(Celcius),  Relative Humidity,  WindSpeed  (knots), Max Wind Speed,   MAX  ,  MIN  ,Precipitation 
948700,2017-02-17,18,49.4,9.3,13,   73.4*,57.2, 0.00I
948700,2017-02-18,15,44.6,9.7,12,   64.8*,  54.0*, 0.02G
948700,2017-02-19,13,48.5,10.7,14,   61.0*,53.6, 0.71G
948701,2017-02-20,15,49.1,9.6,16.9,   66.0*,  49.5*, 0.01G
948701,2017-02-21,16,51,6,13,   74.3*,49.3, 0.00G
948701,2017-02-22,23,49.6,10,19,   90.7*,50.7, 0.00I
948701,2017-02-23,18,55.5,8.9,15,   73.6*,57.6, 0.01G
948701,2017-02-24,16,48.3,9.4,14,   67.5*,  52.7*, 0.01G
948701,2017-02-25,17,52.6,10.3,15.9,   66.6*,52, 0.00G
948701,2017-02-26,21,54.9,7.4,16.9,   83.5*,54.7, 0.00I
948701,2017-02-27,24,55.6,5.9,13,   89.6*,56.3, 0.00I
948701,2017-02-28,23,54.1,5.7,14,   90.3*,59.2, 0.00I
948701,2017-03-01,21,57.3,5.4,9.9,   86.2*,58.1, 0.00I
948701,2017-03-02,20,62.6,10.1,15,   75.0*,58.1, 0.00I
948701,2017-03-03,21,59.5,12.4,21,   84.2*,  60.3*, 0.00I
948701,2017-03-04,22,62,7.9,11.1,   80.8*,59.4, 0.00I
948701,2017-03-05,20,58.8,11.5,15.9,   78.1*,  61.7*, 0.00I
948701,2017-03-06,20,52.9,17,21,   80.6*,  59.2*, 0.00I
948701,2017-03-07,19,51.5,10.2,20,   80.4*,  52.9*, 0.00I
948701,2017-03-08,21,51.7,7.2,13,   84.4*,52.7, 0.00I
948701,2017-03-09,23,53.4,6.1,11.1,   87.3*,53.1, 0.00I
948701,2017-03-10,19,60.2,6.4,12,   73.4*,59.4, 0.00I
948701,2017-03-11,20,59.7,8.6,15.9,   78.6*,61.9, 0.01G
948701,2017-03-12,21,58.1,5.3,11.1,   78.6*,  60.3*, 0.00G
948701,2017-03-13,20,62.2,7.1,15,   75.9*,59.2, 0.00I
948701,2017-03-14,25,58.3,7.1,13,   88.7*,59.9, 0.00I
948701,2017-03-15,28,58.4,11.9,18.1,   91.6*,67.8, 0.04G
948701,2017-03-16,18,53.3,10.8,15,   70.2*,  59.2*, 0.00G
948701,2017-03-17,18,51.1,8.1,15,   72.7*,  52.5*, 0.00I
948701,2017-03-18,21,52.8,4.1,11.1,   84.9*,51.6, 0.00I
948701,2017-03-19,24,55.2,5.8,11.1,   90.0*,54.9, 0.00I
948701,2017-03-20,23,63.8,7.1,15.9,   81.7*,64.2, 0.08G
948701,2017-03-21,20,67.4,8.5,14,   76.1*,  64.4*, 0.63G
948701,2017-03-22,18,57.5,16.1,21,   69.6*,  60.8*, 0.00G
948701,2017-03-23,18,55.6,12.8,19,   75.9*,  55.6*, 0.00I
948701,2017-03-24,20,58.4,6.1,11.1,   76.5*,54.7, 0.00I
948701,2017-03-25,23,61.9,8,15.9,   85.5*,61.7, 0.00I
948701,2017-03-26,23,60.6,10.1,26,   84.4*,  64.2*, 0.00I
948701,2017-03-27,17,53.4,9.4,25.1,   91.8*,  53.6*, 0.16G
948701,2017-03-28,18,50.6,6,13,   73.2*,51.8, 0.00G
948701,2017-03-29,17,49.9,12.2,21,   80.1*,  51.8*, 0.24G
948701,2017-03-30,13,47,7.9,15,   61.9*,  48.6*, 0.02G
948701,2017-03-31,14,45.8,6.5,9.9,   63.0*,47.5, 0.00G
948701,2017-04-01,14,45.7,9.2,15.9,   63.9*,50.4, 0.00I
948701,2017-04-02,12,43.4,9.3,15,   63.3*,  45.0*, 0.00I
948701,2017-04-03,15,47.7,5.9,13,   71.1*,43, 0.00I
948701,2017-04-04,16,47.5,5.4,12,   73.4*,46.8, 0.00I
948701,2017-04-05,17,47.2,4.9,13,   76.8*,47.1, 0.00I
948701,2017-04-06,19,44.2,7.8,15.9,   77.4*,49.5, 0.00I
948701,2017-04-07,21,47,13.2,20,   78.3*,56.7, 0.00I
948701,2017-04-08,19,52.8,12.5,21,   81.9*,  54.3*, 0.47G
948701,2017-04-09,11,48.2,10.8,22.9,   59.7*,  46.8*, 0.59G
948701,2017-04-10,14,50.4,12.8,20,   62.4*,46.8, 0.01G
948701,2017-04-11,14,52.5,7,13,   65.1*,  52.2*, 0.00G
948701,2017-04-12,14,52.4,6.7,11.1,   66.9*,  49.5*, 0.00I
948701,2017-04-13,16,54.9,5.9,9.9,   69.1*,48.2, 0.00I
948701,2017-04-14,13,48.5,5.3,11.1,   64.4*,  51.3*, 0.08G
948701,2017-04-15,12,44,4.7,7,   61.0*,  48.6*, 0.00G
948701,2017-04-16,15,49.3,3.6,7,   68.9*,48, 0.00I
948701,2017-04-17,13,51.4,4.6,8.9,   65.1*,  48.4*, 0.00I
948701,2017-04-18,15,56.1,5.1,9.9,   69.8*,46.8, 0.00I
948701,2017-04-19,22,52.8,9.1,15,   80.8*,51.8, 0.00I
948701,2017-04-20,20,53.5,7.2,15.9,   78.1*,  61.2*, 0.31G
948701,2017-04-21,17,58.1,11.7,19,   69.1*,59.4, 0.04G
948701,2017-04-22,18,58.9,5.5,14,   72.9*,  58.1*, 0.08G
948701,2017-04-23,17,59.3,4.2,7,   70.2*,56.7, 0.01G
948701,2017-04-24,19,60.5,7,11.1,   74.3*,57.6, 0.83G
948701,2017-04-25,14,52.8,9.3,18.1,   62.6*,  51.8*, 0.98G
948701,2017-04-26,11,40.8,12.2,20,   57.9*,50, 0.24G
948701,2017-04-27,12,48.2,7.3,11.1,   58.8*,47.7, 0.03G
948701,2017-04-28,16,54.8,8.3,9.9,   64.8*,51.6, 0.00G
948701,2017-04-29,15,51.9,6.6,12,   63.5*,  56.7*, 0.01G
948701,2017-04-30,15,45.6,10.2,15,   63.3*,56.7, 0.00G
948701,2017-05-01,14,49.2,10.5,20,   67.5*,  51.3*, 0.12G
948701,2017-05-02,10,42.6,8.9,15,   59.4*,  44.8*, 0.04G
948701,2017-05-03,10,43.1,4.7,8,   58.1*,  41.4*, 0.00G
948701,2017-05-04,10,43.3,2.6,7,   59.7*,39.4, 0.00I
948701,2017-05-05,14,47.4,7.1,14,   67.8*,39.9, 0.00I
948701,2017-05-06,12,45.1,11.9,18.1,   65.3*,47.1, 0.16G
948701,2017-05-07,12,45,10.5,16.9,   57.9*,49.5, 0.16G
948701,2017-05-08,12,49.9,6.1,13,   60.6*,49.5, 0.02G
948701,2017-05-09,12,49,4.6,8.9,   59.4*,  46.2*, 0.00G
948701,2017-05-10,10,45.7,3.7,8,   59.7*,  42.8*, 0.01G
948701,2017-05-11,9,45.3,2.5,6,   59.4*,41.4, 0.00G
948701,2017-05-12,14,47.9,5.3,9.9,   65.7*,39, 0.00I
948701,2017-05-13,9,44,2.8,8,   58.5*,  41.4*, 0.00I
948701,2017-05-14,10,46.8,5.3,9.9,   60.8*,41.4, 0.00I
948701,2017-05-15,10,47,5.2,8.9,   58.8*,41.2, 0.00I
948701,2017-05-16,12,48.8,4.2,7,   60.6*,38.7, 0.00I
948701,2017-05-17,13,49.4,3.8,9.9,   64.6*,46.8, 0.01G
948701,2017-05-18,14,49.9,6.8,15.9,   68.7*,47.7, 0.00G
948701,2017-05-19,12,51.6,3.4,11.1,   62.8*,  46.2*, 0.05G
948701,2017-05-20,14,50.1,8.7,15,   66.6*,44.2, 0.00G
948701,2017-05-21,14,51,9.9,15,   65.3*,48.6, 0.00I
948701,2017-05-22,17,48.7,10.5,15,   68.4*,50.9, 0.00I
948701,2017-05-23,15,49.9,7.9,13,   66.6*,  54.9*, 0.01G
948701,2017-05-24,14,48.4,7.5,13,   60.3*,53.1, 0.00G
948701,2017-05-25,14,50.7,8.6,13,   62.8*,  54.3*, 0.12G
948701,2017-05-26,13,48.5,7.1,15.9,   59.9*,  50.2*, 0.00G
948701,2017-05-27,14,48.1,13.7,19,   63.7*,47.3, 0.35G
948701,2017-05-28,9,41.2,10,13,   56.7*,  45.7*, 0.02G
948701,2017-05-29,12,42.8,12.1,19,   57.4*,45.3, 0.04G
948701,2017-05-30,8,41.6,8.3,15.9,   54.5*,  42.1*, 0.24G
948701,2017-05-31,11,43.8,6.5,12,   54.5*,39.4, 0.02G
948701,2017-06-01,11,43.2,5.5,8,   55.6*,45, 0.00G
948701,2017-06-02,12,47,4.8,8.9,   57.6*,48.4, 0.00I
948701,2017-06-03,8,43.3,3.9,8,   55.8*,  38.7*, 0.00I
948701,2017-06-04,9,43.2,4.9,8,   56.1*,37.8, 0.00I
948701,2017-06-05,12,47.6,9.1,13,   61.2*,43.2, 0.12G
948701,2017-06-06,9,40.8,6.7,15,   56.3*,  39.6*, 0.01G
948701,2017-06-07,8,40.7,5.3,12,   56.5*,38.5, 0.00G
948701,2017-06-08,10,46.3,4.6,8,   57.4*,37.2, 0.08G
948701,2017-06-09,10,47.1,4.6,8.9,   57.6*,45.3, 0.00G
948701,2017-06-10,8,44.5,4.7,7,   54.9*,  40.1*, 0.01G
948701,2017-06-11,10,44.9,5.5,8.9,   57.2*,39.6, 0.00G
948701,2017-06-12,12,49.4,4.4,8.9,   60.1*,47.7, 0.00I
948701,2017-06-13,8,43.1,3.4,7,   55.6*,  39.6*, 0.00I
948701,2017-06-14,11,46.4,6.5,8.9,   61.2*,37.2, 0.00I
948701,2017-06-15,11,45.4,5.2,8.9,   63.3*,  43.7*, 0.00A
948701,2017-06-16,8,42.6,2,6,   60.1*,  37.8*, 0.00I
948701,2017-06-17,10,45.6,4.5,7,   58.5*,36.3, 0.00I
948701,2017-06-18,10,47.9,4.1,7,   58.5*,43.9, 0.00I
948701,2017-06-19,11,45.1,5.6,9.9,   58.5*,  44.1*, 0.00I
948701,2017-06-20,11,45.3,10.6,16.9,   59.4*,42.8, 0.08G
948701,2017-06-21,10,45.9,3.2,7,   55.4*,  46.4*, 0.00G
948701,2017-06-22,10,41.4,9.4,14,   56.5*,44.8, 0.00I
948701,2017-06-23,11,43.9,11.2,16.9,   57.2*,45, 0.12G
948701,2017-06-24,10,37.9,8.5,14,   53.1*,47.3, 0.02G
948701,2017-06-25,11,44.2,8.7,15.9,   55.8*,47.5, 0.04G
948701,2017-06-26,10,45.7,3.6,7,   54.0*,  45.5*, 0.01G
948701,2017-06-27,9,41,8.2,9.9,   52.7*,40.8, 0.00G
948701,2017-06-28,10,43.7,7.2,11.1,   56.7*,  47.1*, 0.00I
948701,2017-06-29,10,42.1,9.4,15,   54.9*,46.2, 0.13B
948701,2017-06-30,5,34.9,4.3,11.1,   53.6*,  32.9*, 0.00A
948701,2017-07-01,5,33.1,5.8,14,   54.7*,  28.6*, 0.00I
948701,2017-07-02,6,30.8,5.7,11.1,   57.2*,28.4, 0.00I
948701,2017-07-03,11,45.1,11.5,18.1,   56.7*,31.1, 0.20G
948701,2017-07-04,12,47.2,8.8,15,   60.3*,48.6, 0.00G
948701,2017-07-05,9,42.4,7.2,9.9,   56.7*,  41.2*, 0.00I
948701,2017-07-06,9,40.1,7.5,11.1,   57.6*,40.1, 0.00I
948701,2017-07-07,9,41.2,9.8,15.9,   56.7*,  42.8*, 0.00I
948701,2017-07-08,9,42.8,9.3,13,   54.5*,41.7, 0.08G
948701,2017-07-09,10,39.4,9.6,14,   55.2*,43, 0.00G
948701,2017-07-10,10,44.4,5.6,11.1,   57.9*,43.2, 0.12G
948701,2017-07-11,6,39,1.8,5.1,   55.6*,  34.9*, 0.01G
948701,2017-07-12,9,39,5.6,8.9,   58.5*,33.1, 0.00G
948701,2017-07-13,12,40.7,16.7,21,   58.1*,39, 0.12G
948701,2017-07-14,9,40,8.6,15,   58.1*,  40.8*, 0.00G
948701,2017-07-15,6,37.1,5.8,9.9,   53.4*,  36.9*, 0.00I
948701,2017-07-16,10,35.6,14.5,20,   53.4*,36.9, 0.00I
948701,2017-07-17,12,41.8,14.7,21,   59.4*,46.6, 0.00I
948701,2017-07-18,10,44.8,8.8,14,   54.3*,  48.0*, 0.39G
948701,2017-07-19,10,43.5,12,16.9,   54.9*,  47.1*, 0.04G
948701,2017-07-20,7,40.5,8.1,15,   52.2*,  39.4*, 0.12G
948701,2017-07-21,8,39.3,7.7,14,   55.4*,37.8, 0.00G
948701,2017-07-22,11,35.3,18.2,25.1,   54.5*,41.7, 0.00I
948701,2017-07-23,10,44.7,8,15.9,   56.5*,  45.3*, 0.08G
948701,2017-07-24,12,44.7,11.4,18.1,   59.4*,44.8, 0.00G
948701,2017-07-25,13,44,13.6,21,   62.6*,50.2, 0.04G
948701,2017-07-26,8,43.8,7.3,14,   57.4*,  41.2*, 0.08G
948701,2017-07-27,11,43.5,13.1,21,   58.5*,39.6, 0.24G
948701,2017-07-28,11,40.5,13.4,26,   57.0*,  47.5*, 0.00G
948701,2017-07-29,15,41.5,17,28.9,   64.2*,47.3, 0.00I
948701,2017-07-30,9,42,4.6,12,   60.3*,  41.4*, 0.00I
948701,2017-07-31,7,40.5,3.1,8,   56.1*,  37.6*, 0.00I
948701,2017-08-01,7,40.7,3.7,7,   55.8*,  34.7*, 0.00I
948701,2017-08-02,5,38.6,1.8,5.1,   55.2*,  33.3*, 0.00I
948701,2017-08-03,8,44.6,3.9,8,   48.4*,33.3, 0.39G
948702,2017-08-04,10,41,14.1,20,   52.9*,41.4, 0.02G
948702,2017-08-05,11,40.4,19.3,26,   56.1*,48.4, 0.00G
948702,2017-08-06,9,41.1,12.7,19,   52.5*,  45.3*, 0.24G
948702,2017-08-07,9,42.9,8.9,15.9,   50.4*,45, 0.12G
948702,2017-08-08,12,44.9,7.9,11.1,   56.7*,46.4, 0.00G
948702,2017-08-09,14,43.7,17,27,   61.2*,46.4, 0.00I
948702,2017-08-10,15,41.6,15,28,   66.6*,  51.8*, 0.00I
948702,2017-08-11,12,43.9,12,15.9,   61.2*,49.8, 0.08G
948702,2017-08-12,12,47,7.7,15,   60.6*,  48.4*, 0.08G
948702,2017-08-13,15,41.2,13.8,16.9,   64.4*,47.7, 0.00G
948702,2017-08-14,14,44.6,7.7,15.9,   67.8*,  47.5*, 0.03G
948702,2017-08-15,14,49.9,13.7,22,   63.3*,45.5, 0.03G
948702,2017-08-16,13,42.5,14,19,   59.7*,  48.6*, 0.04G
948702,2017-08-17,10,39.9,12.6,16.9,   58.5*,  46.8*, 0.08G
948702,2017-08-18,8,41,11,16.9,   53.1*,  41.4*, 0.47G
948702,2017-08-19,7,37.9,5.7,9.9,   52.2*,  40.1*, 0.04G
948702,2017-08-20,8,37.2,5.5,11.1,   53.6*,39, 0.00G
948702,2017-08-21,9,40.4,6.9,9.9,   53.1*,42.1, 0.02G
948702,2017-08-22,12,43.3,7,11.1,   59.0*,43.7, 0.00G
948702,2017-08-23,10,44.1,7.3,12,   61.9*,  42.6*, 0.39G
948702,2017-08-24,9,42.2,6.4,9.9,   54.7*,  41.0*, 0.01G
948702,2017-08-25,12,40.4,5.9,8.9,   57.0*,40.3, 0.00G
948702,2017-08-26,11,39.7,11.8,19,   57.6*,  43.5*, 0.28G
948702,2017-08-27,7,37.2,6.2,16.9,   51.1*,  39.0*, 0.08G
948702,2017-08-28,8,40.8,5.5,9.9,   52.7*,38.7, 0.01G
948702,2017-08-29,10,41.4,6.9,8.9,   55.4*,41.2, 0.00G
948702,2017-08-30,8,39.3,4.7,13,   56.3*,  36.0*, 0.02G
948702,2017-08-31,8,36.3,6.3,13,   58.5*,  34.5*, 0.01G
948702,2017-09-01,13,38.4,11.5,16.9,   61.0*,33.6, 0.00G
948702,2017-09-02,17,38.7,16.8,22.9,   65.1*,48.9, 0.00I
948702,2017-09-03,12,41,12.9,16.9,   59.4*,  48.6*, 0.16G
948702,2017-09-04,8,35,14.4,20,   54.9*,  44.1*, 0.00G
948702,2017-09-05,8,38.6,12.8,18.1,   53.8*,43.7, 0.31G
948702,2017-09-06,10,43.7,9.5,13,   54.9*,44.1, 0.08G
948702,2017-09-07,10,43.6,9.7,14,   58.5*,  45.9*, 0.20G
948702,2017-09-08,9,41.9,9.2,14,   52.9*,45.5, 0.12G
948702,2017-09-09,9,43.9,5.7,9.9,   55.8*,  41.4*, 0.00G
948702,2017-09-10,11,41.7,8.7,19,   57.2*,40.3, 0.00I
948702,2017-09-11,14,47.4,10.6,19,   62.4*,44.1, 0.03G
948702,2017-09-12,13,51.1,6,13,   63.0*,52.9, 0.12G
948702,2017-09-13,9,40.1,12.1,15,   58.5*,  43.2*, 0.08G
948702,2017-09-14,12,44.5,11.1,15,   57.4*,42.8, 0.00G
948702,2017-09-15,11,46.2,10.5,15,   58.1*,  46.2*, 0.28G
948702,2017-09-16,9,37.9,9.1,15.9,   55.2*,  38.7*, 0.00G
948702,2017-09-17,14,36,15.9,22,   63.7*,37.6, 0.00I
948702,2017-09-18,14,39.3,17.7,30.9,   70.2*,  48.4*, 0.01G
948702,2017-09-19,9,41.2,6.7,13,   54.0*,  42.1*, 0.01G
948702,2017-09-20,14,41.7,12.3,18.1,   64.8*,41.7, 0.00G
948702,2017-09-21,15,47.3,8.6,22.9,   71.8*,51.6, 0.00I
948702,2017-09-22,20,43.6,10.3,15,   74.7*,50.4, 0.00I
948702,2017-09-23,17,46.3,11.7,20,   84.9*,  53.1*, 0.02G
948702,2017-09-24,14,44,14.4,23.9,   65.5*,50.7, 0.16G
948702,2017-09-25,9,42.1,7.6,12,   57.0*,  40.8*, 0.01G
948702,2017-09-26,11,40.8,6.4,8.9,   57.9*,39.9, 0.00G
948702,2017-09-27,15,44.8,8.3,19,   74.1*,45.9, 0.00I
948702,2017-09-28,13,43.6,9,15,   61.0*,46.4, 0.00I
948702,2017-09-29,14,41.6,13.1,18.1,   64.2*,49.5, 0.00I
948702,2017-09-30,11,41.6,7.9,15,   56.7*,  48.9*, 0.01G
948702,2017-10-01,12,47.9,6.7,11.1,   61.2*,  47.7*, 0.00G
948702,2017-10-02,11,44.2,5.8,9.9,   61.7*,  43.2*, 0.00I
948702,2017-10-03,13,46.2,5.6,12,   68.4*,42.6, 0.00I
948702,2017-10-04,19,50.3,7.7,11.1,   72.0*,43.9, 0.00I
948702,2017-10-05,12,47.5,15,18.1,   63.7*,  50.9*, 0.20G
948702,2017-10-06,11,45.3,8.5,15,   57.6*,  43.5*, 0.00G
948702,2017-10-07,17,46.4,9.5,20,   71.8*,42.3, 0.00I
948702,2017-10-08,18,54.6,12,25.1,   78.1*,51.3, 0.12G
948702,2017-10-09,12,44.4,7.8,14,   63.3*,  45.3*, 0.00G
948702,2017-10-10,13,42.5,8,15,   69.1*,45, 0.00I
948702,2017-10-11,15,48.2,14.7,25.1,   76.3*,43.2, 0.43G
948702,2017-10-12,15,44.5,10.2,14,   62.6*,50.4, 0.00G
948702,2017-10-13,12,44.2,6.2,15,   59.9*,  49.3*, 0.00I
948702,2017-10-14,11,43.2,5.9,14,   59.9*,  41.4*, 0.00I
948702,2017-10-15,13,50.7,6.1,13,   64.6*,40.8, 0.00I
948702,2017-10-16,19,54.3,5.9,12,   79.9*,49.5, 0.00I
948702,2017-10-17,22,46.8,8,16.9,   86.4*,  60.6*, 0.00I
948702,2017-10-18,26,52.2,13.7,16.9,   88.5*,57.2, 0.00I
948702,2017-10-19,15,51,9.6,15.9,   71.8*,  54.0*, 0.16G
948702,2017-10-20,13,42,11.4,16.9,   61.2*,52.9, 0.00G
948702,2017-10-21,12,47.3,9.7,14,   58.1*,52.5, 0.02G
948702,2017-10-22,13,50.3,8.6,13,   61.0*,52.2, 0.02G
948702,2017-10-23,14,49.5,6,12,   63.7*,  52.2*, 0.00G
948702,2017-10-24,15,53.7,6.8,11.1,   66.4*,51.6, 0.51G
948702,2017-10-25,14,51,9.1,12,   63.0*,  53.1*, 0.00G
948702,2017-10-26,13,50.4,7.9,14,   63.3*,  47.7*, 0.00I
948702,2017-10-27,22,46.9,12.9,19,   80.4*,46.8, 0.00I
948702,2017-10-28,15,48.7,8.5,20,   70.2*,  50.7*, 0.01G
948702,2017-10-29,17,44.9,16.1,27,   82.6*,  47.7*, 0.24G
948702,2017-10-30,11,43.2,8.1,14,   59.2*,47.3, 0.20G
948702,2017-10-31,13,47.1,8.1,12,   60.3*,48.9, 0.01G
948702,2017-11-01,13,50.1,8.5,12,   60.8*,  52.2*, 0.08G
948702,2017-11-02,12,43.8,6.7,14,   60.6*,  49.1*, 0.16G
948702,2017-11-03,11,40.4,9.2,15,   57.9*,48.6, 0.04G
948702,2017-11-04,11,41.4,7.7,15,   59.7*,  43.0*, 0.03G
948702,2017-11-05,13,43.3,9.4,14,   62.1*,42.3, 0.00G
948702,2017-11-06,13,44.1,12.9,19,   60.6*,49.5, 0.02G
948702,2017-11-07,12,42.7,10,15.9,   57.9*,51.3, 0.01G
948702,2017-11-08,12,46.6,6.7,14,   62.6*,  45.3*, 0.00G
948702,2017-11-09,14,50.9,5.9,13,   68.7*,45, 0.00I
948702,2017-11-10,18,53.8,6.4,11.1,   79.2*,48.6, 0.00I
948702,2017-11-11,18,55.6,8.2,12,   77.9*,54.9, 0.00I
948702,2017-11-12,18,53.8,6.7,14,   80.1*,  52.7*, 0.00I
948702,2017-11-13,24,51.9,7.3,13,   89.4*,52.5, 0.00I
948702,2017-11-14,28,48.3,11.9,22,   93.2*,59.4, 0.00I
948702,2017-11-15,21,58.8,8.8,22.9,   90.7*,  63.5*, 0.08G
948702,2017-11-16,18,61.5,5.5,11.1,   72.9*,  59.4*, 0.28G
948702,2017-11-17,19,58.7,5.5,12,   76.3*,58.5, 0.28G
948702,2017-11-18,20,58.4,4.7,11.1,   82.2*,  58.8*, 0.01G
948702,2017-11-19,22,57,8.5,15,   82.8*,57.6, 0.00G
948702,2017-11-20,24,55.5,7.9,15,   85.5*,60.8, 0.00I
948702,2017-11-21,24,51.8,7.9,15,   91.6*,59.7, 0.00I
948702,2017-11-22,23,49.6,6.3,13,   88.5*,  57.6*, 0.00I
948702,2017-11-23,24,56.8,5.7,9.9,   85.8*,56.5, 0.00I
948702,2017-11-24,23,58.8,9.1,15,   84.0*,63.9, 0.01G
948702,2017-11-25,24,60.1,8,13,   90.0*,66.9, 0.12G
948702,2017-11-26,20,60.8,10.4,16.9,81.9,  62.4*, 0.08G
948702,2017-11-27,17,52.7,7.7,14,   70.9*,  55.6*, 0.00G
948702,2017-11-28,23,58.8,8.8,15,   87.8*,54, 0.00I
948702,2017-11-29,28,56.7,9.3,16.9,   95.9*,59.7, 0.00I
948702,2017-11-30,26,61,9.3,15,   95.0*,68.2, 0.20G
948702,2017-12-01,17,59,9.4,15,   74.7*,  58.3*, 0.75G
948702,2017-12-02,15,56.2,16.9,20,   61.7*,  55.8*, 1.77G
948702,2017-12-03,14,48.2,12.5,19,   61.7*,55.8, 0.03G
948702,2017-12-04,14,48.2,9.1,15,   63.9*,  51.1*, 0.00G
948702,2017-12-05,17,53,14.6,22.9,   72.0*,50, 0.00I
948702,2017-12-06,16,51.7,7.4,15,   69.6*,  52.2*, 0.00I
948702,2017-12-07,15,51,9,13,   69.3*,51.8, 1.26G
948702,2017-12-08,15,48.1,7.9,12,   64.6*,54.9, 0.00G
948702,2017-12-09,17,53.6,7.6,15,   70.2*,55.2, 0.00I
948702,2017-12-10,17,53.5,7.3,14,   69.1*,57.6, 0.00I
948702,2017-12-11,17,52,8.8,15,   67.5*,  59.4*, 0.00I
948702,2017-12-12,19,55.3,6.2,12,   86.2*,  55.8*, 0.00I
948702,2017-12-13,28,49.9,11,19,   98.4*,55.8, 0.00I
948702,2017-12-14,17,52.5,7.7,16.9,   69.3*,  53.8*, 0.00I
948702,2017-12-15,18,52,7.1,14,   74.5*,53.1, 0.00I
948702,2017-12-16,18,53.7,9,13,   74.5*,54.5, 0.00I
948702,2017-12-17,21,58.7,7.8,13,   81.3*,56.1, 0.00I
948702,2017-12-18,25,60.9,6.3,8.9,   86.2*,60.3, 0.00I
948702,2017-12-19,21,57.4,10.7,22.9,   98.1*,  60.1*, 0.67G
948702,2017-12-20,17,51.2,9.9,18.1,   73.8*,  57.6*, 0.00G
