Latitude,Longitude,Surface Temperature (kelvin),Datetime,Power,Confidence,Date,Surface Temperature (Celcius)
-37.389,149.311,323.3,2017-11-30T04:35:00,47.2,73,2017-11-30,50
-37.605,149.302,356.9,2017-11-30T04:34:57,209.7,98,2017-11-30,83
-37.627,149.261,330.8,2017-11-30T04:34:57,64.9,81,2017-11-30,57
-37.623,149.284,334.3,2017-11-30T04:34:57,79.6,84,2017-11-30,61
-37.6,149.325,359.8,2017-11-30T04:34:57,232.1,99,2017-11-30,86
-37.61,149.279,321.7,2017-11-30T04:34:57,35.3,69,2017-11-30,48
-37.637,146.288,315.5,2017-11-30T00:21:00,10.4,60,2017-11-30,42
-37.608,149.282,331.6,2017-11-30T00:20:53,29.7,83,2017-11-30,58
-37.62,149.294,336.6,2017-11-30T00:20:53,38.2,87,2017-11-30,63
-37.618,149.281,349.6,2017-11-30T00:20:53,69.6,95,2017-11-30,76
-37.61,149.296,330.1,2017-11-30T00:20:53,26.4,81,2017-11-30,56
-37.603,149.324,324.3,2017-11-30T00:20:53,18.6,73,2017-11-30,51
-37.602,149.311,328.9,2017-11-30T00:20:53,26.4,81,2017-11-30,55
-37.6,149.297,323.9,2017-11-30T00:20:53,17.6,69,2017-11-30,50
-37.382,149.341,314.9,2017-11-30T00:20:49,10.8,64,2017-11-30,41
-37.611,149.277,311.7,2017-11-29T13:17:24,16.1,53,2017-11-29,38
-37.608,149.292,328.7,2017-11-29T13:17:24,42.3,100,2017-11-29,55
-37.605,149.308,316.9,2017-11-29T13:17:24,22.7,68,2017-11-29,43
-34.282,142.121,327.8,2017-11-29T03:53:16,39.3,52,2017-11-29,54
-37.606,149.312,360.7,2017-11-29T03:52:10,100.7,100,2017-11-29,87
-37.605,149.326,317.5,2017-11-29T03:52:10,12,64,2017-11-29,44
-37.61,149.307,353.9,2017-11-29T03:52:10,77.7,97,2017-11-29,80
-37.609,149.32,357.9,2017-11-29T03:52:10,89.7,99,2017-11-29,84
-37.749,148.297,315.5,2017-11-28T00:33:14,17.4,50,2017-11-28,42
-37.946,144.342,333.2,2017-11-23T04:28:59,16.8,84,2017-11-23,60
-37.945,144.354,346.5,2017-11-23T04:28:59,40.1,93,2017-11-23,73
-38.141,143.183,319.5,2017-11-23T00:15:12,12.9,68,2017-11-23,46
-36.952,144.972,333.2,2017-11-23T00:14:47,19.9,63,2017-11-23,60
-34.965,142.031,328.8,2017-11-23T00:14:24,21.3,70,2017-11-23,55
-37.978,145.623,332.4,2017-11-22T03:46:00,86.6,84,2017-11-22,59
-37.976,145.649,338,2017-11-22T03:46:00,113.1,88,2017-11-22,64
-37.758,144.693,332.5,2017-11-21T00:27:21,19.5,85,2017-11-21,59
-37.862,144.175,338.9,2017-11-14T04:35:04,34.9,87,2017-11-14,65
-38.527,143.493,318.7,2017-11-14T00:21:26,11,64,2017-11-14,45
-37.332,143.375,319.9,2017-11-14T00:21:07,11.1,64,2017-11-14,46
-37.621,143.447,334.2,2017-11-13T03:52:15,104.4,87,2017-11-13,61
-37.614,143.451,326.8,2017-11-13T03:52:14,69.6,81,2017-11-13,53
-37.954,143.918,315.3,2017-11-13T03:52:08,16.5,64,2017-11-13,42
-38.167,143.841,312.1,2017-11-13T01:16:38,40.7,51,2017-11-13,38
-38.16,143.803,314.2,2017-11-13T01:16:37,49,62,2017-11-13,41
-36.942,143.282,326.9,2017-11-12T04:47:32,26.7,63,2017-11-12,53
-37.864,144.174,314.5,2017-11-12T04:47:16,11.5,58,2017-11-12,41
-38.912,146.272,321.4,2017-11-12T04:46:53,42.2,56,2017-11-12,48
-36.942,143.292,327.5,2017-11-12T00:33:15,14.5,67,2017-11-12,54
-36.94,143.281,342.2,2017-11-12T00:33:15,36.8,89,2017-11-12,69
-36.943,143.286,302.7,2017-11-11T15:08:00,18.8,51,2017-11-11,29
-36.941,143.268,310.5,2017-11-11T13:30:08,11.6,80,2017-11-11,37
-36.939,143.28,332.4,2017-11-11T13:30:08,36.7,100,2017-11-11,59
-37.863,144.17,333.8,2017-11-11T04:04:25,46.5,86,2017-11-11,60
-36.759,145.179,325.9,2017-11-09T04:16:56,12.6,68,2017-11-09,52
-36.758,145.19,324.3,2017-11-09T04:16:56,11,62,2017-11-09,51
-37.213,142.941,324.7,2017-11-09T04:16:53,17.5,75,2017-11-09,51
-37.479,143.358,332.5,2017-11-09T04:16:48,30.6,85,2017-11-09,59
-37.467,143.351,320.2,2017-11-09T04:16:48,14.3,72,2017-11-09,47
-37.477,143.352,366.7,2017-11-09T04:16:48,116.9,100,2017-11-09,93
-37.475,143.365,351.1,2017-11-09T04:16:48,68.4,96,2017-11-09,77
-37.719,142.154,314.4,2017-11-09T04:16:46,10.8,63,2017-11-09,41
-37.692,143.593,335.2,2017-11-09T04:16:44,36.4,87,2017-11-09,62
-37.69,143.605,353.9,2017-11-09T04:16:44,76.8,97,2017-11-09,80
-36.538,141.129,317,2017-11-08T05:12:08,21,60,2017-11-08,43
-36.543,141.138,321.7,2017-11-08T05:12:08,39.4,72,2017-11-08,48
-36.341,143.636,332,2017-11-05T04:41:34,31.1,83,2017-11-05,58
-36.346,143.631,322.4,2017-11-05T04:41:34,14.8,71,2017-11-05,49
-37.331,143.122,338.8,2017-11-05T04:41:19,49.4,90,2017-11-05,65
-37.329,143.136,335.7,2017-11-05T04:41:19,43.8,89,2017-11-05,62
-37.34,143.123,329.2,2017-10-28T03:52:17,97.4,81,2017-10-28,56
-36.748,144.168,317.2,2017-10-27T04:47:31,13.3,62,2017-10-27,44
-36.752,144.15,324.7,2017-10-27T04:47:31,28.8,78,2017-10-27,51
-36.759,144.158,333.3,2017-10-27T04:47:31,52.9,86,2017-10-27,60
-36.764,144.165,324.1,2017-10-27T00:33:09,14.9,78,2017-10-27,50
-36.765,144.176,320.7,2017-10-27T00:33:09,11.4,74,2017-10-27,47
-35.325,143.497,309.2,2017-10-26T13:30:31,14.3,77,2017-10-26,36
-35.321,143.502,321.2,2017-10-26T13:30:31,27,100,2017-10-26,48
-35.323,143.509,326.7,2017-10-26T13:30:31,33.8,100,2017-10-26,53
-36.156,143.568,315.5,2017-10-26T04:04:53,11.9,67,2017-10-26,42
-36.152,143.578,317.3,2017-10-26T04:04:53,13.4,69,2017-10-26,44
-37.297,144.384,311.7,2017-10-23T00:57:55,25.2,72,2017-10-23,38
-36.1,143.767,317.9,2017-10-21T01:09:55,59.9,77,2017-10-21,44
-36.098,143.735,333.1,2017-10-21T01:09:55,139.6,88,2017-10-21,59
-36.1,143.772,309.1,2017-10-21T01:09:54,28.7,65,2017-10-21,35
-36.098,143.74,340.9,2017-10-21T01:09:54,196.8,92,2017-10-21,67
-37.586,141.271,319.7,2017-10-20T04:41:19,16.4,80,2017-10-20,46
-37.588,141.259,323.4,2017-10-20T04:41:19,20.2,82,2017-10-20,50
-37.296,144.386,327.9,2017-10-20T00:27:12,25.5,65,2017-10-20,54
-37.287,144.392,323.1,2017-10-18T00:39:27,20.8,79,2017-10-18,49
-37.295,144.377,319.3,2017-10-18T00:39:27,16.3,75,2017-10-18,46
-35.364,141.063,327.5,2017-10-18T00:39:03,14.2,72,2017-10-18,54
-35.89,145.606,333,2017-10-18T00:39:02,35.9,84,2017-10-18,59
-35.889,145.614,329.7,2017-10-18T00:39:02,28.8,82,2017-10-18,56
-35.892,145.62,322.8,2017-10-18T00:39:02,19,71,2017-10-18,49
-37.247,141.27,317,2017-10-17T13:36:12,17.1,94,2017-10-17,43
-35.937,145.607,324.2,2017-10-17T04:10:59,13.5,73,2017-10-17,51
-37.247,141.278,341.7,2017-10-17T04:10:45,88.2,91,2017-10-17,68
-37.587,142.479,314.5,2017-10-17T04:10:38,11.7,58,2017-10-17,41
-37.805,144.15,329.1,2017-10-17T04:10:32,28.8,82,2017-10-17,55
-37.288,144.39,309.9,2017-10-16T23:56:43,22.2,62,2017-10-16,36
-37.294,141.232,360.5,2017-10-15T04:23:01,107.1,100,2017-10-15,87
-37.293,141.245,359,2017-10-15T04:23:01,101.7,99,2017-10-15,85
-36.851,148.117,319.5,2017-10-15T00:08:42,17.4,78,2017-10-15,46
-37.249,143.413,313.7,2017-10-10T04:04:34,17.4,72,2017-10-10,40
-38.127,143.82,350.2,2017-10-10T04:04:19,109.2,96,2017-10-10,77
-38.116,143.818,317.1,2017-10-10T04:04:19,22.7,76,2017-10-10,43
-37.245,143.426,317.7,2017-10-09T00:45:42,20.6,78,2017-10-09,44
-37.091,145.362,315.1,2017-10-08T04:16:48,12.9,72,2017-10-08,41
-37.087,145.363,315.4,2017-10-07T12:59:33,23.1,91,2017-10-07,42
-35.962,143.791,315.7,2017-10-06T04:29:25,11.5,76,2017-10-06,42
-36.498,144.877,319.7,2017-10-06T04:29:13,17.8,77,2017-10-06,46
-36.418,141.596,314.3,2017-10-04T04:41:36,15.7,50,2017-10-04,41
-37.38,148.053,319.9,2017-10-04T04:41:02,51.1,80,2017-10-04,46
-37.466,148.143,319.7,2017-10-04T04:41:00,55.4,80,2017-10-04,46
-37.472,148.119,327.4,2017-10-04T04:41:00,81.4,85,2017-10-04,54
-37.469,148.125,332.1,2017-10-04T04:41:00,95.3,88,2017-10-04,58
-37.461,148.109,306.8,2017-10-03T15:01:44,14.5,69,2017-10-03,33
-37.459,148.092,315.8,2017-10-03T13:23:43,29,92,2017-10-03,42
-37.236,141.176,310.2,2017-10-03T03:58:28,35.1,68,2017-10-03,37
-37.227,141.151,308.4,2017-10-03T03:58:28,28.1,59,2017-10-03,35
-37.242,141.153,316.9,2017-10-03T03:58:28,56.9,77,2017-10-03,43
-37.238,141.145,316.3,2017-10-03T03:58:28,55.6,76,2017-10-03,43
-37.365,148.052,337.1,2017-10-03T03:58:15,37.7,90,2017-10-03,63
-37.376,148.042,321.2,2017-10-03T03:58:15,17.3,81,2017-10-03,48
-37.375,148.054,322.6,2017-10-03T03:58:15,18.2,82,2017-10-03,49
-37.386,148.043,328.4,2017-10-03T03:58:15,25.9,84,2017-10-03,55
-37.384,148.056,336.5,2017-10-03T03:58:15,38.3,90,2017-10-03,63
-37.367,148.04,328.5,2017-10-03T03:58:15,24.3,71,2017-10-03,55
-37.471,148.091,323.4,2017-10-03T03:58:14,21.3,71,2017-10-03,50
-37.462,148.089,363.8,2017-10-03T03:58:14,108,100,2017-10-03,90
-37.46,148.102,338.8,2017-10-03T03:58:14,41.9,88,2017-10-03,65
-37.469,148.103,332.9,2017-10-03T03:58:14,33.5,87,2017-10-03,59
-37.229,141.182,312.5,2017-10-03T01:22:44,69.4,73,2017-10-03,39
-37.227,141.146,305.1,2017-10-03T01:22:44,41.2,54,2017-10-03,31
-37.466,148.1,302.2,2017-10-02T23:44:31,10.9,50,2017-10-02,29
-37.475,148.134,313.9,2017-10-02T04:53:10,62,59,2017-10-02,40
-37.47,148.089,323.7,2017-10-02T04:53:10,117.5,83,2017-10-02,50
-37.485,148.095,316.7,2017-10-02T04:53:10,75.9,71,2017-10-02,43
-37.477,148.097,334.8,2017-10-02T04:53:09,187.8,85,2017-10-02,61
-37.461,148.105,316.1,2017-10-02T00:39:34,34.1,76,2017-10-02,42
-37.456,148.11,313.2,2017-10-02T00:39:34,27.1,68,2017-10-02,40
-37.463,148.109,307.2,2017-10-01T15:13:56,10.9,62,2017-10-01,34
-37.453,148.111,327.3,2017-10-01T15:13:56,29,100,2017-10-01,54
-37.461,148.103,309.2,2017-10-01T13:36:02,39.3,77,2017-10-01,36
-37.368,148.05,326.3,2017-10-01T04:10:30,20.9,79,2017-10-01,53
-37.478,148.117,326,2017-10-01T04:10:28,21,84,2017-10-01,52
-37.467,148.127,334.9,2017-10-01T04:10:28,32.2,89,2017-10-01,61
-37.46,148.113,325.5,2017-10-01T04:10:28,19.9,64,2017-10-01,52
-37.453,148.099,317.9,2017-10-01T04:10:28,13.3,78,2017-10-01,44
-37.45,148.097,310.5,2017-09-29T04:22:41,11.9,70,2017-09-29,37
-38.226,147.167,323,2017-09-29T04:22:31,20.6,82,2017-09-29,49
-35.954,141.076,323.4,2017-09-27T04:35:36,13.4,78,2017-09-27,50
-35.961,141.089,329.7,2017-09-27T04:35:36,19.6,83,2017-09-27,56
-35.963,141.078,333.7,2017-09-27T04:35:36,25.3,86,2017-09-27,60
-36.275,142.785,318.4,2017-09-27T04:35:27,12.2,72,2017-09-27,45
-36.398,145.286,313.1,2017-09-27T04:35:18,11.2,65,2017-09-27,39
-35.953,141.078,323,2017-09-27T00:21:05,26.3,79,2017-09-27,49
-35.957,141.088,322.5,2017-09-27T00:21:05,24.1,79,2017-09-27,49
-37.087,145.37,306.7,2017-09-26T03:52:14,17.5,64,2017-09-26,33
-37.758,148.721,308.8,2017-09-24T15:07:50,11.2,76,2017-09-24,35
-37.561,148.032,307.8,2017-09-24T15:07:49,11.1,73,2017-09-24,34
-37.446,148.102,338.2,2017-09-24T15:07:47,46.8,100,2017-09-24,65
-37.448,148.114,332.5,2017-09-24T15:07:47,35.5,72,2017-09-24,59
-37.453,148.118,307.4,2017-09-24T15:07:47,10.9,71,2017-09-24,34
-37.457,148.143,315,2017-09-24T15:07:47,17.1,90,2017-09-24,41
-37.437,148.104,335.1,2017-09-24T15:07:47,39.7,99,2017-09-24,61
-37.434,148.091,325.9,2017-09-24T15:07:47,27.4,70,2017-09-24,52
-37.538,148.895,308.4,2017-09-24T15:07:46,11.6,74,2017-09-24,35
-37.333,148.099,316.9,2017-09-24T15:07:45,19.2,94,2017-09-24,43
-37.33,148.087,334.4,2017-09-24T15:07:45,42.3,100,2017-09-24,61
-37.327,148.083,321.1,2017-09-24T13:30:10,50.4,100,2017-09-24,47
-37.375,148.063,309.1,2017-09-24T13:30:09,23.4,59,2017-09-24,35
-37.336,148.073,311.3,2017-09-24T13:30:09,29.2,82,2017-09-24,38
-37.332,148.091,322,2017-09-24T13:30:09,51.5,100,2017-09-24,48
-37.363,148.06,322.1,2017-09-24T13:30:09,48.6,100,2017-09-24,48
-37.438,148.09,324,2017-09-24T13:30:07,50.8,84,2017-09-24,50
-37.406,148.123,361.6,2017-09-24T04:04:19,85.2,100,2017-09-24,88
-37.397,148.121,332.1,2017-09-24T04:04:19,26.6,58,2017-09-24,58
-37.452,148.115,350.6,2017-09-24T04:04:18,56.6,68,2017-09-24,77
-37.465,148.153,336.6,2017-09-24T04:04:18,33.1,68,2017-09-24,63
-37.45,148.126,343,2017-09-24T04:04:18,39.9,64,2017-09-24,69
-37.436,148.088,349.9,2017-09-24T04:04:18,58.2,86,2017-09-24,76
-37.444,148.101,340,2017-09-24T04:04:18,39.5,73,2017-09-24,66
-37.562,148.05,345.3,2017-09-24T04:04:17,47,61,2017-09-24,72
-38.5,146.938,313.4,2017-09-24T04:04:04,12.2,74,2017-09-24,40
-38.498,146.95,325.8,2017-09-24T04:04:04,25.7,84,2017-09-24,52
-38.495,146.944,327,2017-09-24T04:04:04,28.8,56,2017-09-24,53
-37.497,147.266,310.6,2017-09-23T23:50:45,21.3,70,2017-09-23,37
-37.57,148.034,329.7,2017-09-23T23:50:44,50.1,86,2017-09-23,56
-37.559,148.037,314.6,2017-09-23T23:50:43,21.8,56,2017-09-23,41
-37.379,148.126,355.6,2017-09-23T23:50:40,127.2,58,2017-09-23,82
-37.379,148.132,351.9,2017-09-23T23:50:40,112.7,62,2017-09-23,78
-37.434,148.123,329.7,2017-09-23T12:47:12,45.6,100,2017-09-23,56
-37.396,148.086,338.3,2017-09-23T12:47:12,62.3,100,2017-09-23,65
-37.406,148.088,321.2,2017-09-23T12:47:12,32.4,100,2017-09-23,48
-37.415,148.105,325.9,2017-09-23T12:47:12,39.6,100,2017-09-23,52
-37.425,148.107,323.4,2017-09-23T12:47:12,35.7,100,2017-09-23,50
-37.391,148.066,312.9,2017-09-23T12:47:12,20.6,75,2017-09-23,39
-37.399,148.081,358,2017-09-23T12:47:12,118,100,2017-09-23,84
-37.401,148.067,352.9,2017-09-23T12:47:12,101.9,100,2017-09-23,79
-36.984,148.25,308.6,2017-09-23T04:59:18,40.9,50,2017-09-23,35
-37.335,148.064,333.4,2017-09-23T04:59:13,229.4,88,2017-09-23,60
-37.347,148.019,309.3,2017-09-23T04:59:13,37,61,2017-09-23,36
-37.569,148.024,333.6,2017-09-23T04:59:11,206.2,87,2017-09-23,60
-37.585,148.032,323.6,2017-09-23T04:59:11,115.8,80,2017-09-23,50
-37.586,148.038,321.1,2017-09-23T04:59:10,102.1,77,2017-09-23,47
-36.996,148.228,313.7,2017-09-23T03:21:28,60.7,70,2017-09-23,40
-36.995,148.268,310.5,2017-09-23T03:21:28,41.3,56,2017-09-23,37
-37.554,148.073,310.9,2017-09-23T03:21:19,29.2,63,2017-09-23,37
-37.564,147.992,317.8,2017-09-23T03:21:19,69.6,74,2017-09-23,44
-36.012,141.341,318.3,2017-09-22T04:17:10,11.6,71,2017-09-22,45
-37.227,142.138,312.7,2017-09-21T05:11:47,51,73,2017-09-21,39
-37.228,142.146,315.4,2017-09-21T05:11:46,60.2,76,2017-09-21,42
-37.235,142.153,317.8,2017-09-20T04:29:03,14.7,78,2017-09-20,44
-37.246,142.143,333.9,2017-09-20T04:29:03,32.9,89,2017-09-20,60
-37.237,142.141,385.8,2017-09-20T04:29:03,180.1,100,2017-09-20,112
-37.238,142.13,316,2017-09-20T04:29:03,13.4,73,2017-09-20,42
-38.002,144.514,333.5,2017-09-20T04:28:45,33,88,2017-09-20,60
-34.2695,142.2025,327.2,2017-09-10T04:00:00,26.4,80,2017-09-10,54
-34.2838,142.204,331.8,2017-09-10T03:53:00,33.6,84,2017-09-10,58
-34.2803,142.1964,333.7,2017-09-10T03:50:30,36.5,86,2017-09-10,60
-34.2782,142.2253,327.9,2017-09-10T03:50:10,28.2,81,2017-09-10,54
-37.4421,148.259,312.8,2017-08-14T04:15:40,15.2,56,2017-08-14,39
-38.0173,144.0571,314.3,2017-08-14T04:11:00,15.9,61,2017-08-14,41
-37.4754,148.161,317,2017-08-14T04:10:20,20,67,2017-08-14,43
-37.443,147.3064,314.3,2017-08-14T04:09:30,16.6,61,2017-08-14,41
-37.7836,143.9688,313.5,2017-08-14T04:07:50,17.6,58,2017-08-14,40
-34.848,141.5002,314.3,2017-08-13T05:13:30,13,54,2017-08-13,41
-34.7919,141.6231,335.3,2017-08-13T05:08:00,41.3,87,2017-08-13,62
-34.8421,141.5266,319.1,2017-08-13T05:06:10,18.3,71,2017-08-13,45
-34.7872,141.6164,327.1,2017-08-13T05:05:10,28.5,80,2017-08-13,53
-34.8425,141.4933,315.3,2017-08-13T05:05:00,14.5,63,2017-08-13,42
-34.793,141.5898,315.3,2017-08-13T05:03:10,14,63,2017-08-13,42
-34.8006,141.6209,324.1,2017-08-13T05:03:00,24.9,77,2017-08-13,50
-34.7979,141.5966,324.1,2017-08-13T05:02:40,24.8,77,2017-08-13,50
-34.8368,141.5197,329.7,2017-08-13T05:02:30,32.8,83,2017-08-13,56
-37.5537,141.9264,337.1,2017-08-10T04:32:00,47.5,74,2017-08-10,63
-37.8519,147.2555,313.8,2017-08-05T04:20:10,19.7,59,2017-08-05,40
-37.4796,141.9403,360.2,2017-08-02T03:45:40,103.1,94,2017-08-02,87
-37.491,141.936,313.2,2017-08-02T03:45:00,20.4,54,2017-08-02,40
-38.3998,147.064,338.2,2017-08-01T00:20:30,54.6,89,2017-08-01,65
-38.3982,147.0509,324.5,2017-08-01T00:19:30,33.7,78,2017-08-01,51
-37.8641,143.4276,324.5,2017-07-31T13:21:00,38.8,100,2017-07-31,51
-37.8658,143.4162,316.7,2017-07-31T13:21:00,29.5,92,2017-07-31,43
-37.8475,147.2512,323.4,2017-07-29T04:07:50,26,76,2017-07-29,50
-37.8565,147.2532,319.6,2017-07-29T04:07:50,21.7,71,2017-07-29,46
-38.5194,143.4522,315.2,2017-07-14T04:58:10,24.4,63,2017-07-14,42
-38.5233,143.433,314.5,2017-07-14T04:50:20,23.6,61,2017-07-14,41
-37.8662,143.4082,329.9,2017-07-06T04:08:00,40.2,83,2017-07-06,56
-37.8644,143.4263,342.2,2017-07-06T04:02:00,60.6,91,2017-07-06,69
-37.8757,143.428,316.6,2017-07-06T04:02:00,24,66,2017-07-06,43
-38.4031,147.0701,318.2,2017-07-05T23:44:00,27.6,69,2017-07-05,45
-37.8067,141.7598,313.2,2017-07-04T04:14:00,21.2,57,2017-07-04,40
-36.397,142.254,325.3,2017-07-02T04:29:18,24.4,84,2017-07-02,52
-36.397,142.254,325.3,2017-07-02T04:29:18,24.4,84,2017-07-02,52
-37.067,141.379,309.8,2017-07-02T04:29:10,12.6,69,2017-07-02,36
-37.067,141.379,309.8,2017-07-02T04:29:10,12.6,69,2017-07-02,36
-37.333,143.534,332.1,2017-07-02T04:29:00,34.8,88,2017-07-02,58
-37.333,143.534,332.1,2017-07-02T04:29:00,34.8,88,2017-07-02,58
-37.886,147.207,302,2017-07-02T04:28:42,10.7,50,2017-07-02,28
-37.886,147.207,302,2017-07-02T04:28:42,10.7,50,2017-07-02,28
-37.062,141.373,303.1,2017-07-01T13:11:41,16.1,53,2017-07-01,29
-37.062,141.373,303.1,2017-07-01T13:11:41,16.1,53,2017-07-01,29
-36.779,146.108,305.3,2017-07-01T03:46:08,25.7,61,2017-07-01,32
-36.779,146.108,305.3,2017-07-01T03:46:08,25.7,61,2017-07-01,32
-36.834,142.524,318,2017-06-30T04:41:25,21.4,78,2017-06-30,44
-36.834,142.524,318,2017-06-30T04:41:25,21.4,78,2017-06-30,44
-37.858,143.428,321.2,2017-06-30T00:27:19,21.4,81,2017-06-30,48
-37.856,143.416,314.4,2017-06-30T00:27:19,15.1,75,2017-06-30,41
-37.856,143.416,314.4,2017-06-30T00:27:19,15.1,75,2017-06-30,41
-37.858,143.428,321.2,2017-06-30T00:27:19,21.4,81,2017-06-30,48
-36.4274,142.1944,319.3,2017-06-22T03:50:20,22.3,71,2017-06-22,46
-36.3674,143.7295,324.9,2017-06-20T04:05:20,29.2,78,2017-06-20,51
-36.3782,143.7313,324.6,2017-06-20T04:02:00,28.9,78,2017-06-20,51
-36.3774,143.7079,341.3,2017-06-20T04:02:00,55.4,91,2017-06-20,68
-36.3756,143.7243,361.9,2017-06-20T04:02:00,102.9,100,2017-06-20,88
-36.369,143.7132,353.2,2017-06-20T04:02:00,80.8,97,2017-06-20,80
-36.3799,143.7149,362.4,2017-06-20T04:02:00,104.5,100,2017-06-20,89
-36.7179,142.2536,318.6,2017-06-18T04:14:00,22.7,70,2017-06-18,45
-37.8387,144.6301,312.2,2017-06-18T04:14:00,17.6,53,2017-06-18,39
-37.3583,143.0203,316.5,2017-06-16T04:34:30,23.2,66,2017-06-16,43
-36.7084,142.7354,315.5,2017-06-16T04:26:10,21.4,64,2017-06-16,42
-36.2669,143.1906,318.8,2017-06-14T04:44:10,22.1,61,2017-06-14,45
-36.2693,143.1768,358.9,2017-06-14T04:43:00,95.7,94,2017-06-14,85
-36.3769,144.7505,312.6,2017-06-14T04:40:10,16.9,55,2017-06-14,39
-36.059,143.7718,317.8,2017-06-14T04:38:30,23,69,2017-06-14,44
-36.0201,143.7775,314.9,2017-06-13T04:02:00,18.2,62,2017-06-13,41
