	0	1	2	3	4	5	6	7	8	9	10	11
Mali	18	57	20	27	46	19	5	28	9	1	93	79 x
Malta	6 x	-	-	-	-	-	-	-	-	-	-	-
Marshall Islands	18 x	73 x	31 x	77 x	53 x	-	-	-	-	-	-	-
Mauritania	35	81	46	61 y	47	20	4	23	12	1	99	23
Mauritius	14 x	-	21 x	-	-	-	-	-	-	-	-	-
Mexico	9	18	19	27	-	3	-	14	2	10	-	91 x
Micronesia (Federated States of)	18 x	-	-	-	-	-	-	-	-	-	-	-
Monaco	-	-	-	-	-	-	-	-	-	-	-	-
Mongolia	5	71	66	66	65	3	1	15	2	11	54	70
Montenegro	4 x	25 x	19 x	35 x,y	13 x	2 x	1 x	7 x	4 x	16 x	-	71 x
Morocco	15 x	52 x	31 x	52 x,y	15 x	3	2 x	15	2	11	-	21 x
Mozambique	17	77	43	90	52	15	4	43	6	7	20	45 y
Myanmar	9	76	24	76	65	23	6	35	8	3	86	93
Namibia	16 x	71 x	24 x	91 x	28 x	17 x	4 x	29 x	8 x	5 x	46	63 x
Nauru	27 x	76 x,y	67 x	65 x	65 x	5 x	1 x	24 x	1 x	3 x	-	-
Nepal	18	45	70	66	93	29	8	41	11	2	95	80
Netherlands	-	-	-	-	-	-	-	-	-	-	-	-
New Zealand	6 x	-	-	-	-	-	-	-	-	-	-	-
Nicaragua	8	76 x	31 x	76 x,y	43 x	6 x	1 x	22 x	1 x	6 x	7	97 x
Niger	27 x	42	23	65 y	50	36	13	44	18	2	98	32
Nigeria	15	23	15	33	35	24	9	36	10	3	78	52
Niue	0 x	-	-	-	-	-	-	-	-	-	-	-
Norway	5 x	-	-	-	-	-	-	-	-	-	-	-
Oman	10	85 x	-	91 x,y	73 x	9	1	10	7	2	-	69 x,y
Pakistan	32 x	29 x	37 x	36 x,y	55 x	32	12	44	15	6	99	69
Palau	-	-	-	-	-	-	-	-	-	-	-	-
Panama	10 x	-	-	-	-	4	-	19	1	-	-	-
Papua New Guinea	11 x	-	56 x	76 x,y	72 x	18 x	5 x	44 x	5 x	4 x	15	92 x
Paraguay	6	47	24	67 y	14	3 x	-	18 x	1 x	7 x	-	93
Peru	8 x	51	71	82	55	4	1	20	0	10	-	91
Philippines	21	54	34	90	34	22	-	32	7	4	90	45 x
Poland	6 x	-	-	-	-	-	-	-	-	-	-	-
Portugal	8 x	-	-	-	-	-	-	-	-	-	-	-
Qatar	-	-	-	-	-	-	-	-	-	-	-	-
Republic of Korea	4 x	-	-	-	-	-	-	-	-	-	-	-
Republic of Moldova	6 x	65 x	46 x	18 x,y	2 x	3 x	1 x	10 x	5 x	9 x	-	60 x
Romania	8 x	-	16 x	41 x,y	-	4 x	1 x	13 x	4 x	8 x	-	74 x
Russian Federation	6 x	-	-	-	-	-	-	-	-	-	-	35 x,y
Rwanda	7	71	85	79	84	11	2	44	3	7	3	99
Saint Kitts and Nevis	8	-	-	-	-	-	-	-	-	-	-	100 x,y
Saint Lucia	11	-	-	-	-	-	-	-	-	-	-	-
Saint Vincent and the Grenadines	8	-	-	-	-	-	-	-	-	-	-	-
Samoa	10	88	51	71 y	74	-	-	-	-	-	-	-
San Marino	-	-	-	-	-	-	-	-	-	-	-	-
Sao Tome and Principe	10	35 x	51	74	20	13	3	29	11	11	34	86
Saudi Arabia	-	-	-	-	-	-	-	-	-	-	-	-
Senegal	19	48	39	67 y	51	18	5	27	10	3	-	47
Serbia	6	8	14	84	15	2	1	7	4	16	-	32 x
Seychelles	-	-	-	-	-	-	-	-	-	-	-	-
Sierra Leone	11	45	32	25	48	22	8	44	9	10	99	63
Singapore	8 x	-	-	-	-	3 x	0 x	4 x	4 x	3 x	-	-
Slovakia	7 x	-	-	-	-	-	-	-	-	-	-	-
Slovenia	-	-	-	-	-	-	-	-	-	-	-	-
Solomon Islands	13 x	75 x	74 x	80 x,y	67 x	12 x	2 x	33 x	4 x	3 x	-	-
Somalia	-	26 x	9 x	16 x	35 x	32 x	12 x	42 x	13 x	5	-	1 x
South Africa	-	61 x	8 x	49 x,y	31 x	9 x	-	33 x	6 x	19 x	-	-
South Sudan	-	-	45	21	38	28	12	31	23	5	70	54
Spain	-	-	-	-	-	-	-	-	-	-	-	-
Sri Lanka	17 x	80 x	76 x	87 x,y	84 x	21 x	4 x	17 x	15 x	1	90	92 x,y
State of Palestine	9	-	27 x	-	-	4	1	11	3	-	-	86 x
Sudan	-	-	41	51	40	32	13	35	16	-	83	10
Suriname	14	45	3	47	15	6	1	9	5	4	-	-
Swaziland	9	55	44	66	11	6	1	31	1	11	33	52
Sweden	-	-	-	-	-	-	-	-	-	-	-	-
Switzerland	-	-	-	-	-	-	-	-	-	-	-	-
Syrian Arab Republic	10	46	43	-	25	10	-	28	12	18	-	79 x
Tajikistan	10 x	61 x	25 x	41 x	34 x	12	4	26	10	6	97	62
Thailand	7	50 x	15	-	-	7 x	1 x	16 x	5 x	8 x	-	47 x
The former Yugoslav Republic of Macedonia	6	21	23	41	13	1	0	5	2	12	-	94 x,y
Timor-Leste	12 x	82	52	82	33	45	15	58	19	5	59	60 x
Togo	11	46	62	44	64	17	4	30	5	2	64	32
Tonga	3 x	-	-	-	-	-	-	-	-	-	-	-
Trinidad and Tobago	10	41 x	13 x	83 x	22 x	-	-	-	-	-	-	28 x
Tunisia	7	87 x	6 x	61 x,y	15 x	2	1	10	3	14	-	97 x
Turkey	11	39	42	68 x,y	22	2	0	12	1	-	-	69
Turkmenistan	4 x	60 x	11 x	54 x	37 x	8 x	2 x	19 x	7 x	-	-	87 x
Tuvalu	6 x	15 x	35 x	40 x,y	51 x	2 x	0 x	10 x	3 x	6 x	-	-
Uganda	12	53	63	67	46	14	3	33	5	3	70	99 y
Ukraine	4 x	41 x	18 x	86 x	6 x	-	-	-	-	-	-	18 x
United Arab Emirates	6	-	-	-	-	-	-	-	-	-	-	-
United Kingdom	8 x	-	-	-	-	-	-	-	-	-	-	-
United Republic of Tanzania	8	49	50	92	51	16	4	42	5	5	95	59
United States	8 x	-	-	-	-	1 x	0 x	3 x	0 x	7 x	-	-
Uruguay	9	59	65	35 x,y	27	5 x	2 x	15 x	2 x	10 x	-	-
Uzbekistan	5 x	67 x	26 x	47 x	38 x	4 x	1 x	19 x	4 x	13 x	99	53 x
Vanuatu	10 x	72 x	40 x	68 x	32 x	11 x	2 x	26 x	6 x	5 x	-	23 x
Venezuela (Bolivarian Republic of)	8	-	-	-	-	4 x	-	16 x	5 x	6 x	-	-
Viet Nam	5	40	17	50	19	12	2	23	4	4	98 w	45
Yemen	-	30 x	12 x	76 x,y	-	43 x	19 x	58 x	15 x	5 x	11	30 x
Zambia	11 x	57 x	61 x	94 x	42 x	15 x	3 x	45 x	5 x	8 x	-	77 x
Zimbabwe	11	65	31	86	20	10	2	32	3	6	61	94 y
